# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan  6 15:15:44 2017
#
# CONSTRAINT:  where (k2c_disp like 'C%'
# CONSTRAINT:  and k2c_recentflag = 1
# CONSTRAINT:  )
#
# COLUMN epic_name:      EPIC Name
# COLUMN tm_name:        2MASS Designation
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radj:        Candidate Radius [Jupiter radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_plx:         Parallax [mas]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]
#
rowid,epic_name,tm_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,pl_eqt,st_plx,st_dist,st_teff,st_logg,st_metfe,st_metratio,st_rad,st_vsini
82,EPIC 201512465,2MASS J11341510+0042502,EPIC 201512465.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h34m15.10s,173.562932,+00d42m50.3s,0.713972,2.33293000,2456810.151600,,0.0504000,,,,12.00000,3.200,0.290,,,,3508.00,5.06,,,0.22,
84,EPIC 201516974,2MASS J11371547+0046593,EPIC 201516974.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016arXiv160306945S target=ref>Schmitt et al. 2016</a>,CANDIDATE,,1,1,11h37m15.48s,174.314486,+00d46m59.3s,0.783149,36.70990000,2456819.805600,,0.7360000,0.9000,82.600,6.900000,0.04890,,,,,,,,,,,
86,EPIC 201528215,2MASS J11311300+0057307,EPIC 201528215.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h31m13.01s,172.804218,+00d57m30.9s,0.958577,6.39913980,2456816.154000,0.044900,0.0875000,0.2000,,,0.01901,1.850,0.165,,,,5210.00,,,,0.80,
87,EPIC 201534540,2MASS J11263627+0103188,EPIC 201534540.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h26m36.28s,171.651170,+01d03m18.8s,1.055233,2.72273204,2456814.491832,1.494000,3.5960000,,,,,,,,,,,,,,,
88,EPIC 201546136,2MASS J11163530+0113427,EPIC 201546136.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h16m35.30s,169.147063,+01d13m42.6s,1.228497,1.96685790,2456810.595000,0.032200,0.1000000,0.7100,,,0.01764,1.510,0.135,,,,5063.00,,,,0.77,
90,EPIC 201546283,2MASS J11260363+0113505,EPIC 201546283.01,K2-27 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h26m03.64s,171.515165,+01d13m50.7s,1.230738,6.77093147,2456819.620600,0.267000,3.0320000,,,,,,,,,,,,,,,
97,EPIC 201549860,2MASS J11202473+0117094,EPIC 201549860.01,K2-35 c,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h20m24.74s,170.103081,+01d17m09.4s,1.285956,5.60967748,2456817.718241,0.093000,2.2900000,,,,,,,,,,,,,,,
98,EPIC 201549860,2MASS J11202473+0117094,EPIC 201549860.02,K2-35 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h20m24.74s,170.103081,+01d17m09.4s,1.285956,2.39991000,2456810.585900,,0.0725000,,,,1.64000,1.080,0.096,,,,4426.00,4.70,,,0.60,
100,EPIC 201556134,2MASS J11514201+0122469,EPIC 201556134.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h51m42.03s,177.925108,+01d22m46.7s,1.379641,12.72674300,2456822.000000,0.057900,0.1616667,0.2600,,,0.02141,1.910,0.170,,,,4767.00,,,,0.73,
101,EPIC 201563164,,EPIC 201563164.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h48m33.61s,177.140024,+01d28m59.3s,1.483144,0.18746328,2456810.308000,1.320000,0.0445833,0.9000,,,0.12360,217.000,19.359,,,,46696.00,,,,17.27,
102,EPIC 201565013,2MASS J11475812+0130368,EPIC 201565013.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h47m58.13s,176.992193,+01d30m36.9s,1.510249,8.63829000,2456811.427540,,0.0638300,,,,14.08000,6.810,0.608,,,,3960.00,4.84,,,0.44,
106,EPIC 201569483,2MASS J11084111+0134389,EPIC 201569483.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h08m41.11s,167.171299,+01d34m39.0s,1.577513,5.79688610,2456813.313000,9.430000,0.1070833,0.7300,,,0.32320,24.200,2.159,,,,4721.00,,,,0.72,
109,EPIC 201577035,2MASS J11282927+0141264,EPIC 201577035.01,K2-10 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,1,1,11h28m29.27s,172.121957,+01d41m26.3s,1.690636,19.29206200,2456819.600774,0.164000,4.4130000,,,,,,,,,,,,,,,
111,EPIC 201577112,2MASS J11505015+0141307,EPIC 201577112.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h50m50.14s,177.708932,+01d41m30.7s,1.691867,22.19799200,2456826.004000,1.520000,0.1058333,0.1400,,,0.11200,5.340,0.476,,,,3508.00,,,,0.40,
112,EPIC 201588420,2MASS J11234426+0151502,EPIC 201588420.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,CANDIDATE,,1,1,11h23m44.27s,170.934451,+01d51m50.3s,1.863959,3.29089980,2456813.490000,0.040600,0.0400000,0.1800,,,0.01804,1.570,0.140,,,,4671.00,,,,0.72,
114,EPIC 201596316,2MASS J11161006+0159128,EPIC 201596316.01,K2-11 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h16m10.08s,169.042002,+01d59m12.6s,1.986840,39.84780000,2456829.860200,,0.2171000,,,,2.66000,2.420,0.216,,,,5264.00,4.56,,,0.83,
117,EPIC 201596733,2MASS J11224298+0159359,EPIC 201596733.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,1,1,11h22m42.98s,170.679099,+01d59m35.8s,1.993276,2.89607106,2456815.004860,0.383000,1.8740000,,,,,,,,,,,,,,,
118,EPIC 201606542,2MASS J11211485+0208398,EPIC 201606542.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2016arXiv160306488A target=ref>Adams et al. 2016</a>,CANDIDATE,,1,1,11h21m14.85s,170.311881,+02d08m39.9s,2.144426,0.44437200,2456817.744450,,,,86.900,8.300000,0.01360,1.220,0.109,,,,5540.00,4.81,0.030,[Fe/H],0.82,
