# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jan  4 16:30:57 2017
#
# CONSTRAINT:  where (koi_pdisposition like 'CANDIDATE'
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_eccen:      Eccentricity
# COLUMN koi_eccen_err1: Eccentricity Upper Unc.
# COLUMN koi_eccen_err2: Eccentricity Lower Unc.
# COLUMN koi_fittype:    Planetary Fit Type
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,2.204735365,3.8000000e-08,-3.8000000e-08,0,,,MCMC,16.39,1.500e-01,-1.400e-01,89.95,,,2025.0,,,3973.70,279.95,-264.48,1,6350.00,80.00,-80.00,4.021,0.011,-0.011,1.9910,0.0180,-0.0180,292.247280,47.969521
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,3.522498573,1.9400000e-07,-1.9400000e-07,0,,,MCMC,14.83,1.190e+00,-1.320e+00,85.37,,,1521.0,,,1264.67,323.37,-317.46,1,6225.00,114.00,-158.00,4.169,0.055,-0.048,1.4510,0.1170,-0.1290,281.288120,42.451080
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,3.709213846,6.3250000e-06,-6.3250000e-06,0,,,MCMC,1.24,2.000e-01,-1.500e-01,88.81,,,1236.0,,,552.21,260.10,-154.61,2,5803.00,111.00,-116.00,4.351,0.109,-0.127,1.0730,0.1800,-0.1250,295.648710,48.495560
17,10480982,K00744.01,,CANDIDATE,CANDIDATE,19.221386154,1.4360000e-06,-1.4360000e-06,0,,,MCMC,51.40,1.992e+01,-4.670e+00,88.24,,,698.0,,,55.97,63.81,-15.33,1,6117.00,164.00,-195.00,4.496,0.044,-0.286,0.9470,0.3670,-0.0860,295.814540,47.690350
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,9.273581940,1.1780000e-05,-1.1780000e-05,0,,,MCMC,2.52,2.900e-01,-2.500e-01,89.38,,,649.0,,,41.85,16.82,-11.29,1,4856.00,145.00,-134.00,4.583,0.058,-0.048,0.6960,0.0810,-0.0670,288.138240,47.724449
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,6.029301321,5.3620000e-06,-5.3620000e-06,0,,,MCMC,3.14,2.500e-01,-1.800e-01,89.38,,,685.0,,,52.09,16.57,-10.67,1,4536.00,142.00,-120.00,4.636,0.022,-0.059,0.6930,0.0550,-0.0410,283.710880,47.863270
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,5.349556710,9.1410000e-06,-9.1410000e-06,0,,,MCMC,2.70,1.000e+00,-2.000e-01,84.22,,,918.0,,,167.93,186.09,-38.12,1,5559.00,167.00,-141.00,4.572,0.028,-0.242,0.8060,0.2970,-0.0600,292.376130,47.880989
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,3.941046320,1.1600000e-05,-1.1600000e-05,0,,,MCMC,1.59,5.800e-01,-1.200e-01,89.95,,,1017.0,,,252.42,279.71,-57.30,2,5559.00,167.00,-141.00,4.572,0.028,-0.242,0.8060,0.2970,-0.0600,292.376130,47.880989
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,8.109046710,7.4770000e-05,-7.4770000e-05,0,,,MCMC,1.19,4.400e-01,-9.000e-02,88.81,,,799.0,,,96.38,106.80,-21.88,3,5559.00,167.00,-141.00,4.572,0.028,-0.242,0.8060,0.2970,-0.0600,292.376130,47.880989
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,21.676974860,6.7110000e-05,-6.7110000e-05,0,,,MCMC,1.54,8.000e-02,-1.000e-01,89.95,,,430.0,,,8.09,1.88,-1.91,1,4722.00,131.00,-144.00,4.723,0.053,-0.026,0.5270,0.0270,-0.0370,290.465120,47.929180
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,4.996782840,1.4480000e-05,-1.4480000e-05,0,,,MCMC,2.70,9.100e-01,-1.900e-01,88.81,,,917.0,,,166.95,172.81,-36.99,1,5339.00,177.00,-143.00,4.552,0.026,-0.234,0.8470,0.2850,-0.0580,297.808260,47.946671
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,4.280958588,6.4840000e-06,-6.4840000e-06,0,,,MCMC,2.33,9.600e-01,-1.800e-01,88.24,,,1014.0,,,250.32,306.53,-58.95,1,5641.00,160.00,-147.00,4.556,0.030,-0.278,0.8310,0.3410,-0.0650,294.265810,49.314091
30,11465813,K00771.01,,CANDIDATE,CANDIDATE,670.645246000,1.7420000e-03,-1.7420000e-03,0,,,MCMC,14.41,2.340e+00,-7.800e-01,89.38,,,196.0,,,0.35,0.15,-0.06,,5520.00,83.00,-110.00,4.466,0.040,-0.144,0.9830,0.1600,-0.0530,296.698610,49.316479
31,11493732,K00772.01,,CANDIDATE,CANDIDATE,61.256344300,1.6100000e-04,-1.6100000e-04,0,,,MCMC,64.23,3.491e+01,-6.950e+00,87.09,,,505.0,,,15.43,25.15,-4.74,1,6144.00,154.00,-208.00,4.402,0.067,-0.323,1.0910,0.5930,-0.1180,283.725920,49.479519
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,38.377462300,1.5550000e-04,-1.5550000e-04,0,,,MCMC,2.70,1.070e+00,-2.400e-01,89.95,,,541.0,,,20.30,23.83,-5.65,1,5957.00,162.00,-206.00,4.498,0.039,-0.290,0.9710,0.3860,-0.0860,291.722020,49.480869
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,41.197087400,1.0190000e-04,-1.0190000e-04,0,,,MCMC,3.62,6.100e-01,-2.700e-01,89.95,,,417.0,,,7.14,3.88,-1.65,2,5126.00,160.00,-138.00,4.609,0.027,-0.106,0.7420,0.1250,-0.0550,286.999480,48.375790
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,6.252964898,9.4420000e-06,-9.4420000e-06,0,,,MCMC,2.41,4.000e-01,-1.800e-01,89.38,,,782.0,,,88.22,47.98,-20.42,3,5126.00,160.00,-138.00,4.609,0.027,-0.106,0.7420,0.1250,-0.0550,286.999480,48.375790
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,16.013102050,4.3080000e-05,-4.3080000e-05,0,,,MCMC,2.86,5.010e+00,-2.600e-01,89.95,,,593.0,,,29.31,224.69,-7.57,1,5015.00,171.00,-134.00,4.499,0.074,-0.800,0.8260,1.4480,-0.0750,297.025630,48.478588
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,32.628829750,9.5940000e-05,-9.5940000e-05,0,,,MCMC,3791.05,1.667e+03,-3.001e+02,56.72,,,506.0,,,15.48,20.61,-3.63,1,5588.00,167.00,-141.00,4.563,0.035,-0.276,0.7960,0.3500,-0.0630,285.718540,48.505859
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,91.772210000,1.0040000e-03,-1.0040000e-03,0,,,MCMC,2.13,9.400e-01,-1.700e-01,89.95,,,358.0,,,3.90,5.19,-0.92,2,5588.00,167.00,-141.00,4.563,0.035,-0.276,0.7960,0.3500,-0.0630,285.718540,48.505859
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,4.959319451,5.1700000e-07,-5.1700000e-07,0,,,MCMC,11.88,4.910e+00,-1.080e+00,85.94,,,1128.0,,,382.06,462.38,-107.38,1,6117.00,156.00,-210.00,4.457,0.045,-0.282,1.0250,0.4240,-0.0930,292.167050,48.727589
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,4.498760920,1.7690000e-05,-1.7690000e-05,0,,,MCMC,2.21,8.500e-01,-2.100e-01,89.95,,,1133.0,,,389.62,433.93,-109.77,1,6075.00,154.00,-203.00,4.486,0.045,-0.280,0.9690,0.3710,-0.0900,298.456850,48.791592
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.412207130,2.4880000e-06,-2.4880000e-06,0,,,MCMC,3.28,1.790e+00,-6.600e-01,89.38,,,1306.0,,,686.92,1121.80,-302.67,1,6391.00,157.00,-204.00,4.226,0.166,-0.287,1.3320,0.7270,-0.2690,287.887330,46.276241
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,41.439628080,8.1830000e-05,-8.1830000e-05,0,,,MCMC,5.73,2.060e+00,-8.600e-01,89.38,,,516.0,,,16.72,18.21,-5.93,1,5468.00,172.00,-149.00,4.367,0.130,-0.239,1.0460,0.3750,-0.1580,295.555050,49.017342
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,8.353906390,1.6950000e-05,-1.6950000e-05,0,,,MCMC,2.54,1.020e+00,-1.900e-01,89.95,,,789.0,,,91.45,109.83,-20.53,1,5592.00,164.00,-142.00,4.584,0.030,-0.253,0.7820,0.3130,-0.0570,285.499240,49.277351
45,11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,4.125546869,3.1020000e-06,-3.1020000e-06,0,,,MCMC,4.46,2.650e+00,-4.600e-01,87.66,,,1244.0,,,565.35,1025.96,-172.23,1,6174.00,155.00,-223.00,4.417,0.054,-0.346,1.1030,0.6580,-0.1130,291.936160,49.253979
46,11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,2.816504852,1.5200000e-07,-1.5200000e-07,0,,,MCMC,12.82,4.940e+00,-1.390e+00,89.95,,,1253.0,,,583.25,665.85,-168.78,1,5653.00,159.00,-155.00,4.440,0.079,-0.261,0.9650,0.3710,-0.1050,297.015470,49.225288
48,12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,3.689926291,9.4250000e-06,-9.4250000e-06,0,,,MCMC,1.96,7.400e-01,-1.600e-01,89.38,,,1147.0,,,408.99,449.69,-106.49,1,5880.00,163.00,-186.00,4.518,0.034,-0.274,0.9170,0.3410,-0.0760,291.622410,50.618240
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,4.431242593,6.1100000e-06,-6.1100000e-06,0,,,MCMC,3.07,1.380e+00,-2.400e-01,89.38,,,1074.0,,,314.29,424.71,-81.59,1,5841.00,170.00,-197.00,4.520,0.030,-0.319,0.9310,0.4170,-0.0730,295.816160,51.121738
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,11.379380710,2.2790000e-05,-2.2790000e-05,0,,,MCMC,3.74,1.670e+00,-2.900e-01,87.09,,,784.0,,,89.22,120.57,-23.16,2,5841.00,170.00,-197.00,4.520,0.030,-0.319,0.9310,0.4170,-0.0730,295.816160,51.121738
51,12404086,K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,26.394356460,6.0780000e-05,-6.0780000e-05,0,,,MCMC,3.16,5.700e-01,-2.300e-01,89.95,,,491.0,,,13.78,8.10,-3.22,1,5127.00,176.00,-143.00,4.587,0.027,-0.115,0.7750,0.1380,-0.0570,289.399720,51.250320
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.570766220,1.6240000e-05,-1.6240000e-05,0,,,MCMC,2.35,4.200e-01,-2.300e-01,89.95,,,796.0,,,94.89,47.77,-23.67,1,5881.00,112.00,-120.00,4.388,0.087,-0.142,1.0290,0.1860,-0.1000,300.863980,44.337551
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.125945910,1.2500000e-05,-1.2500000e-05,0,,,MCMC,1.88,1.020e+00,-3.800e-01,89.38,,,1191.0,,,476.01,777.35,-209.74,2,6391.00,157.00,-204.00,4.226,0.166,-0.287,1.3320,0.7270,-0.2690,287.887330,46.276241
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,16.384856460,3.6400000e-05,-3.6400000e-05,0,,,MCMC,1.81,2.300e-01,-2.400e-01,89.95,,,392.0,,,5.56,2.91,-1.67,2,3898.00,177.00,-77.00,4.721,0.078,-0.078,0.5400,0.0700,-0.0700,286.738040,49.975750
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,7.877407090,1.1190000e-05,-1.1190000e-05,0,,,MCMC,2.33,3.000e-01,-3.000e-01,87.09,,,500.0,,,14.76,7.73,-4.44,1,3898.00,177.00,-77.00,4.721,0.078,-0.078,0.5400,0.0700,-0.0700,286.738040,49.975750
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,36.445198200,1.2840000e-04,-1.2840000e-04,0,,,MCMC,1.80,2.300e-01,-2.300e-01,89.95,,,300.0,,,1.91,1.01,-0.57,3,3898.00,177.00,-77.00,4.721,0.078,-0.078,0.5400,0.0700,-0.0700,286.738040,49.975750
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,3.728731093,9.3400000e-07,-9.3400000e-07,0,,,MCMC,6.27,2.040e+00,-4.700e-01,87.09,,,1022.0,,,258.17,252.16,-59.68,1,5492.00,165.00,-141.00,4.576,0.027,-0.215,0.8120,0.2640,-0.0620,290.785740,50.054119
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,40.419585010,4.8340000e-05,-4.8340000e-05,0,,,MCMC,8.02,3.880e+00,-9.400e-01,88.81,,,468.0,,,11.29,17.34,-3.44,1,5446.00,195.00,-155.00,4.507,0.093,-0.387,0.7810,0.3780,-0.0910,294.316860,50.080231
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,2.243381847,2.7220000e-06,-2.7220000e-06,0,,,MCMC,1.32,1.700e-01,-1.800e-01,89.38,,,685.0,,,52.11,25.41,-15.18,1,3741.00,140.00,-54.00,4.803,0.080,-0.080,0.4500,0.0600,-0.0600,285.176210,50.149818
62,11918099,K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,2.337438010,2.0710000e-06,-2.0710000e-06,0,,,MCMC,2.38,3.200e-01,-1.900e-01,86.52,,,1054.0,,,291.62,134.87,-68.83,1,4989.00,155.00,-134.00,4.605,0.031,-0.078,0.7270,0.1000,-0.0560,293.833310,50.230350
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,7.240651400,1.5210000e-05,-1.5210000e-05,0,,,MCMC,5.32,7.400e-01,-4.100e-01,88.24,,,723.0,,,64.51,29.83,-15.23,2,4989.00,155.00,-134.00,4.605,0.031,-0.078,0.7270,0.1000,-0.0560,293.833310,50.230350
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,3.435878900,3.4700000e-05,-3.4700000e-05,0,,,MCMC,0.65,3.500e-01,-1.300e-01,88.81,,,1519.0,,,1257.38,2053.40,-554.03,,6391.00,157.00,-204.00,4.226,0.166,-0.287,1.3320,0.7270,-0.2690,287.887330,46.276241
65,11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,11.598221720,1.3990000e-05,-1.3990000e-05,0,,,MCMC,3.07,3.700e-01,-3.800e-01,88.24,,,400.0,,,6.07,2.48,-1.68,1,3672.00,103.00,-58.00,4.765,0.074,-0.074,0.4900,0.0600,-0.0600,296.221950,50.287220
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,6.575316780,3.6860000e-06,-3.6860000e-06,0,,,MCMC,5.38,1.950e+00,-6.900e-01,89.95,,,1015.0,,,251.38,268.99,-81.49,1,5992.00,162.00,-176.00,4.415,0.091,-0.258,0.9890,0.3600,-0.1260,290.098050,50.321609
67,12020329,K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,7.275037240,4.2750000e-06,-4.2750000e-06,0,,,MCMC,4.91,1.570e+00,-3.300e-01,85.94,,,833.0,,,113.64,108.88,-25.35,1,5485.00,161.00,-154.00,4.556,0.022,-0.244,0.8670,0.2780,-0.0580,295.455290,50.494560
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,19.271546800,4.4040000e-05,-4.4040000e-05,0,,,MCMC,1.73,2.200e-01,-2.100e-01,89.95,,,343.0,,,3.28,1.50,-0.90,1,3767.00,135.00,-51.00,4.783,0.075,-0.075,0.4800,0.0600,-0.0600,293.973360,50.531910
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,10.065258430,1.7830000e-05,-1.7830000e-05,0,,,MCMC,1.61,2.100e-01,-2.000e-01,89.95,,,426.0,,,7.81,3.57,-2.15,2,3767.00,135.00,-51.00,4.783,0.075,-0.075,0.4800,0.0600,-0.0600,293.973360,50.531910
70,12070811,K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,12.393586040,3.8290000e-05,-3.8290000e-05,0,,,MCMC,2.69,9.500e-01,-2.000e-01,87.09,,,680.0,,,50.46,54.72,-11.38,1,5557.00,179.00,-146.00,4.594,0.032,-0.207,0.7520,0.2670,-0.0540,296.021330,50.567780
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.844443530,9.6880000e-05,-9.6880000e-05,0,,,MCMC,2.58,4.700e-01,-2.500e-01,89.38,,,538.0,,,19.88,10.01,-4.96,2,5881.00,112.00,-120.00,4.388,0.087,-0.142,1.0290,0.1860,-0.1000,300.863980,44.337551
73,3246984,K00799.01,,CANDIDATE,CANDIDATE,1.626629735,9.1000000e-07,-9.1000000e-07,0,,,MCMC,447.32,1.706e+02,-5.884e+01,35.52,,,1548.0,,,1355.88,1555.69,-439.42,1,5735.00,172.00,-155.00,4.410,0.105,-0.253,0.9730,0.3710,-0.1280,294.368190,38.310280
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,2.711502579,4.1340000e-06,-4.1340000e-06,0,,,MCMC,3.62,1.820e+00,-3.300e-01,79.64,,,1405.0,,,920.54,1406.12,-255.47,1,6167.00,174.00,-203.00,4.444,0.043,-0.314,1.0640,0.5360,-0.0970,291.653530,38.494659
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,7.212041520,1.4830000e-05,-1.4830000e-05,0,,,MCMC,3.51,1.760e+00,-3.200e-01,89.95,,,1015.0,,,250.42,382.51,-69.50,2,6167.00,174.00,-203.00,4.444,0.043,-0.314,1.0640,0.5360,-0.0970,291.653530,38.494659
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,8.472378440,1.4620000e-05,-1.4620000e-05,0,,,MCMC,2.71,5.700e-01,-2.100e-01,89.95,,,752.0,,,75.44,49.05,-17.61,1,5354.00,161.00,-142.00,4.587,0.027,-0.140,0.7880,0.1660,-0.0600,296.366520,51.319519
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,60.418613700,3.9600000e-04,-3.9600000e-04,0,,,MCMC,2.72,5.700e-01,-2.100e-01,89.38,,,390.0,,,5.49,3.57,-1.28,2,5354.00,161.00,-142.00,4.587,0.027,-0.140,0.7880,0.1660,-0.0600,296.366520,51.319519
79,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,12.611906672,6.4630000e-06,-6.4630000e-06,0,,,MCMC,7.66,3.240e+00,-6.300e-01,88.24,,,753.0,,,76.15,95.72,-19.23,1,5795.00,161.00,-169.00,4.508,0.038,-0.298,0.9190,0.3880,-0.0760,289.112210,51.737381
