rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,rowupdate,pl_name,pl_rvamp,pl_eqt,pl_insol,pl_bmassprov,pl_bmassj,pl_bmasse,pl_dens,pl_radj,pl_rade,pl_rads,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,st_radv,st_sp,st_spstr,st_age
1966,Kepler-247,c,Transit,3,9.439452,0.084,,,1,1,0,19h14m34.21s,288.642531,+43d02m21.4s,43.039291,,5100,,0.77,14/5/14,Kepler-247 c,,,,,,,,0.365,4.09,0.037,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.2428354,74.328098,14.221239,302.70138,64.376704,,,,,
1967,Kepler-247,d,Transit,3,20.477912,0.14,,,1,1,0,19h14m34.21s,288.642531,+43d02m21.4s,43.039291,,5100,,0.77,14/5/14,Kepler-247 d,,,,,,,,0.352,3.94,0.036,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.2428354,74.328098,14.221239,302.70138,64.376704,,,,,
1968,Kepler-248,b,Transit,2,6.308205,0.066,,,0,1,0,19h32m14.73s,293.061384,+43d34m52.9s,43.581356,,5190,,0.83,14/5/14,Kepler-248 b,,,,,,,,0.269,3.02,0.028,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.5374256,76.240558,11.546377,310.073809,63.846766,,,,,
1969,Kepler-248,c,Transit,2,16.239494,0.123,,,0,1,0,19h32m14.73s,293.061384,+43d34m52.9s,43.581356,,5190,,0.83,14/5/14,Kepler-248 c,,,,,,,,0.363,4.07,0.037,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.5374256,76.240558,11.546377,310.073809,63.846766,,,,,
1970,Kepler-249,b,Transit,3,3.306539,0.035,,,0,1,0,19h47m56.42s,296.985068,+43d39m30.7s,43.658524,,3568,,0.48,14/5/14,Kepler-249 b,,,,,,,,0.097,1.09,0.01,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.79900453,77.658164,9.070923,316.011229,62.852973,,,,,
1971,Kepler-249,c,Transit,3,7.113702,0.058,,,0,1,0,19h47m56.42s,296.985068,+43d39m30.7s,43.658524,,3568,,0.48,14/5/14,Kepler-249 c,,,,,,,,0.135,1.51,0.014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.79900453,77.658164,9.070923,316.011229,62.852973,,,,,
1972,Kepler-249,d,Transit,3,15.368459,0.097,,,0,1,0,19h47m56.42s,296.985068,+43d39m30.7s,43.658524,,3568,,0.48,14/5/14,Kepler-249 d,,,,,,,,0.14,1.57,0.014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.79900453,77.658164,9.070923,316.011229,62.852973,,,,,
1973,Kepler-25,b,Transit,3,6.2385,,,,1,1,0,19h06m33.21s,286.638393,+39d29m16.4s,39.487894,,6270,1.19,1.31,16/10/27,Kepler-25 b,2.8,,,Mass,0.0302,9.6,2.5,0.242,2.71,0.025,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>,2011,<a href=http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S target=ref> Steffen et al. 2012 </a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.1092262,70.349656,14.164118,297.445864,61.351271,,,,,11
1974,Kepler-25,c,Transit,3,12.7204,,,,1,1,0,19h06m33.21s,286.638393,+39d29m16.4s,39.487894,,6270,1.19,1.31,16/10/27,Kepler-25 c,5.63,,,Mass,0.0774,24.6,0.9,0.464,5.2,0.048,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>,2011,<a href=http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S target=ref> Steffen et al. 2012 </a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.1092262,70.349656,14.164118,297.445864,61.351271,,,,,11
1975,Kepler-25,d,Radial Velocity,3,123,,,,0,1,0,19h06m33.21s,286.638393,+39d29m16.4s,39.487894,,6270,1.19,1.31,14/5/14,Kepler-25 d,9.67,,,Mass,0.283,89.9,,,,,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>,2014,<a href=http://adsabs.harvard.edu/abs/2014ApJS..210...20M target=ref> Marcy et al. 2014 </a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.1092262,70.349656,14.164118,297.445864,61.351271,,,,,11
1976,Kepler-250,b,Transit,3,4.148141,0.048,,,0,1,0,19h18m22.74s,289.594765,+44d08m31.0s,44.141953,,5160,0.8,0.81,14/5/14,Kepler-250 b,,,,,,,,0.101,1.13,0.01,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.30631767,75.656703,14.043671,305.036043,65.215402,,,,,
1977,Kepler-250,c,Transit,3,7.156804,0.069,,,0,1,0,19h18m22.74s,289.594765,+44d08m31.0s,44.141953,,5160,0.8,0.81,14/5/14,Kepler-250 c,,,,,,,,0.203,2.28,0.021,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.30631767,75.656703,14.043671,305.036043,65.215402,,,,,
1978,Kepler-250,d,Transit,3,17.648312,0.127,,,0,1,0,19h18m22.74s,289.594765,+44d08m31.0s,44.141953,,5160,0.8,0.81,14/5/14,Kepler-250 d,,,,,,,,0.194,2.18,0.02,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.30631767,75.656703,14.043671,305.036043,65.215402,,,,,
1979,Kepler-251,b,Transit,4,4.790936,0.053,,,0,1,0,19h46m15.90s,296.566237,+44d06m21.1s,44.105865,,5526,0.91,0.89,14/5/14,Kepler-251 b,,,,,,,,0.119,1.33,0.012,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.77108247,77.907122,9.551428,315.790365,63.383324,,,,,
1980,Kepler-251,c,Transit,4,16.514043,0.122,,,0,1,0,19h46m15.90s,296.566237,+44d06m21.1s,44.105865,,5526,0.91,0.89,14/5/14,Kepler-251 c,,,,,,,,0.247,2.77,0.025,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.77108247,77.907122,9.551428,315.790365,63.383324,,,,,
1981,Kepler-251,d,Transit,4,30.133001,0.182,,,0,1,0,19h46m15.90s,296.566237,+44d06m21.1s,44.105865,,5526,0.91,0.89,14/5/14,Kepler-251 d,,,,,,,,0.247,2.77,0.025,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.77108247,77.907122,9.551428,315.790365,63.383324,,,,,
1982,Kepler-251,e,Transit,4,99.640161,0.404,,,0,1,0,19h46m15.90s,296.566237,+44d06m21.1s,44.105865,,5526,0.91,0.89,14/5/14,Kepler-251 e,,,,,,,,0.247,2.77,0.025,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.77108247,77.907122,9.551428,315.790365,63.383324,,,,,
1983,Kepler-252,b,Transit,2,6.668391,0.058,,,0,1,0,19h42m19.04s,295.579345,+44d32m45.5s,44.545963,,4208,0.52,0.55,14/5/14,Kepler-252 b,,,,,,,,0.11,1.23,0.011,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.70528967,77.959352,10.381766,314.717738,64.066464,,,,,
1984,Kepler-252,c,Transit,2,10.848463,0.08,,,0,1,0,19h42m19.04s,295.579345,+44d32m45.5s,44.545963,,4208,0.52,0.55,14/5/14,Kepler-252 c,,,,,,,,0.192,2.15,0.02,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.70528967,77.959352,10.381766,314.717738,64.066464,,,,,
1985,Kepler-253,b,Transit,3,3.783986,0.046,,,0,1,0,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,,5208,,0.79,14/5/14,Kepler-253 b,,,,,,,,0.145,1.63,0.015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.4561328,77.019965,12.892997,309.222688,65.350239,,,,,
1986,Kepler-253,c,Transit,3,10.281951,0.089,,,0,1,0,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,,5208,,0.79,14/5/14,Kepler-253 c,,,,,,,,0.236,2.65,0.024,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.4561328,77.019965,12.892997,309.222688,65.350239,,,,,
1987,Kepler-253,d,Transit,3,18.119869,0.13,,,0,1,0,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,,5208,,0.79,14/5/14,Kepler-253 d,,,,,,,,0.283,3.17,0.029,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.4561328,77.019965,12.892997,309.222688,65.350239,,,,,
1988,Kepler-254,b,Transit,3,5.826662,0.064,,,0,1,0,19h12m39.53s,288.164701,+45d48m59.4s,45.816504,,5957,,0.91,14/5/14,Kepler-254 b,,,,,,,,0.345,3.87,0.035,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.21098005,76.822447,15.642865,303.983233,67.124966,,,,,
1989,Kepler-254,c,Transit,3,12.412183,0.105,,,0,1,0,19h12m39.53s,288.164701,+45d48m59.4s,45.816504,,5957,,0.91,14/5/14,Kepler-254 c,,,,,,,,0.192,2.15,0.02,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.21098005,76.822447,15.642865,303.983233,67.124966,,,,,
1990,Kepler-254,d,Transit,3,18.746477,0.139,,,0,1,0,19h12m39.53s,288.164701,+45d48m59.4s,45.816504,,5957,,0.91,14/5/14,Kepler-254 d,,,,,,,,0.223,2.5,0.023,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.21098005,76.822447,15.642865,303.983233,67.124966,,,,,
1991,Kepler-255,b,Transit,3,5.714606,0.063,,,0,1,0,19h44m15.42s,296.064233,+45d58m36.6s,45.976841,,5573,0.97,0.93,14/5/14,Kepler-255 b,,,,,,,,0.138,1.55,0.014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.73761553,79.406989,10.754231,316.800354,65.236663,,,,,
1992,Kepler-255,c,Transit,3,9.946047,0.092,,,0,1,0,19h44m15.42s,296.064233,+45d58m36.6s,45.976841,,5573,0.97,0.93,14/5/14,Kepler-255 c,,,,,,,,0.267,2.99,0.027,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.73761553,79.406989,10.754231,316.800354,65.236663,,,,,
1993,Kepler-255,d,Transit,3,1.04562266,,,,0,1,0,19h44m15.42s,296.064233,+45d58m36.6s,45.976841,,5573,0.97,0.93,16/5/10,Kepler-255 d,,,,,,,,0.118,1.32,0.012,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,2016,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.73761553,79.406989,10.754231,316.800354,65.236663,,,,,
1994,Kepler-256,b,Transit,4,1.620493,0.027,,,0,1,0,19h30m19.31s,292.580445,+46d05m50.6s,46.097389,,5551,1.02,1.3,14/5/14,Kepler-256 b,,,,,,,,0.142,1.59,0.015,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.505363,78.396073,12.964139,311.5115,66.31264,,,,,
1995,Kepler-256,c,Transit,4,3.38802,0.045,,,0,1,0,19h30m19.31s,292.580445,+46d05m50.6s,46.097389,,5551,1.02,1.3,14/5/14,Kepler-256 c,,,,,,,,0.192,2.15,0.02,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.505363,78.396073,12.964139,311.5115,66.31264,,,,,
1996,Kepler-256,d,Transit,4,5.839172,0.064,,,0,1,0,19h30m19.31s,292.580445,+46d05m50.6s,46.097389,,5551,1.02,1.3,14/5/14,Kepler-256 d,,,,,,,,0.221,2.48,0.023,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.505363,78.396073,12.964139,311.5115,66.31264,,,,,
1997,Kepler-256,e,Transit,4,10.681572,0.096,,,0,1,0,19h30m19.31s,292.580445,+46d05m50.6s,46.097389,,5551,1.02,1.3,14/5/14,Kepler-256 e,,,,,,,,0.21,2.35,0.022,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.505363,78.396073,12.964139,311.5115,66.31264,,,,,
1998,Kepler-257,b,Transit,3,2.382667,0.034,,,0,1,0,19h49m15.84s,297.315994,+46d01m23.8s,46.023269,,5180,,1.04,14/5/14,Kepler-257 b,,,,,,,,0.233,2.61,0.024,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.82106626,79.870679,10.012457,318.715769,64.910094,,,,,
1999,Kepler-257,c,Transit,3,6.581484,0.066,,,0,1,0,19h49m15.84s,297.315994,+46d01m23.8s,46.023269,,5180,,1.04,14/5/14,Kepler-257 c,,,,,,,,0.483,5.41,0.05,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.82106626,79.870679,10.012457,318.715769,64.910094,,,,,
2000,Kepler-257,d,Transit,3,24.664551,0.16,,,0,1,0,19h49m15.84s,297.315994,+46d01m23.8s,46.023269,,5180,,1.04,14/5/14,Kepler-257 d,,,,,,,,0.442,4.95,0.045,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.82106626,79.870679,10.012457,318.715769,64.910094,,,,,
2001,Kepler-258,b,Transit,2,13.19722,0.103,,,0,1,0,19h36m16.44s,294.06849,+46d34m45.6s,46.57933,,4942,0.8,0.92,14/5/14,Kepler-258 b,,,,,,,,0.362,4.06,0.037,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.604566,79.304706,12.256047,314.336761,66.352842,,,,,
2002,Kepler-258,c,Transit,2,33.653079,0.193,,,0,1,0,19h36m16.44s,294.06849,+46d34m45.6s,46.57933,,4942,0.8,0.92,14/5/14,Kepler-258 c,,,,,,,,0.322,3.61,0.033,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.604566,79.304706,12.256047,314.336761,66.352842,,,,,
2003,Kepler-259,b,Transit,2,8.115317,0.079,,,0,1,0,19h12m50.86s,288.211929,+46d36m54.0s,46.615005,,5938,,0.9,14/5/14,Kepler-259 b,,,,,,,,0.25,2.8,0.026,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.2141286,77.59981,15.924097,304.741047,67.869664,,,,,
2004,Kepler-259,c,Transit,2,36.924931,0.217,,,0,1,0,19h12m50.86s,288.211929,+46d36m54.0s,46.615005,,5938,,0.9,14/5/14,Kepler-259 c,,,,,,,,0.241,2.7,0.025,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.2141286,77.59981,15.924097,304.741047,67.869664,,,,,
2005,Kepler-26,b,Transit,4,12.28,,,,1,1,0,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,3914,0.54,0.51,16/4/7,Kepler-26 b,,,7.6,Mass,0.01611,5.12,1.26,0.248,2.78,0.025,<a href=http://adsabs.harvard.edu/abs/2016ApJ...820...39J target=ref>Jontof-Hutter et al. 2016</a>,2011,<a href=http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S target=ref> Steffen et al. 2012 </a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,18.99606647,76.680019,17.992986,298.937927,68.510027,,,,,
2006,Kepler-26,c,Transit,4,17.2559,,,,1,1,0,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,3914,0.54,0.51,16/4/7,Kepler-26 c,,,4.82,Mass,0.01951,6.2,1.61,0.243,2.72,0.025,<a href=http://adsabs.harvard.edu/abs/2016ApJ...820...39J target=ref>Jontof-Hutter et al. 2016</a>,2011,<a href=http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S target=ref> Steffen et al. 2012 </a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,18.99606647,76.680019,17.992986,298.937927,68.510027,,,,,
2007,Kepler-26,d,Transit,4,3.543919,0.039,,,0,1,0,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,3914,0.54,0.51,14/5/14,Kepler-26 d,,,,,,,,0.095,1.07,0.01,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,18.99606647,76.680019,17.992986,298.937927,68.510027,,,,,
2008,Kepler-26,e,Transit,4,46.827915,0.22,,,0,1,0,18h59m45.84s,284.940997,+46d33m59.5s,46.56654,,3914,0.54,0.51,14/5/14,Kepler-26 e,,,,,,,,0.215,2.41,0.022,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,18.99606647,76.680019,17.992986,298.937927,68.510027,,,,,
2009,Kepler-260,b,Transit,2,8.187399,0.075,,,0,1,0,19h27m42.23s,291.925972,+38d00m50.8s,38.014122,,5250,0.88,0.86,14/5/14,Kepler-260 b,,,,,,,,0.179,2.01,0.018,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,2014,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,19.4617315,70.788134,9.806928,304.654687,58.843827,,,,,
